Organization_ID,Industry,Company_Size,Employee_Count,AI_Tool,Adoption_Year,AI_Adoption_Score,Monthly_AI_Users,Productivity_Gain_Percent,Satisfaction_Score,AI_Investment_USD,Annual_Cost_Savings_USD,ROI_Percent,Training_Hours_Per_Employee,Automation_Level_Percent
ORG0037,Healthcare,Medium,453,Claude,2022,77,105,38.09,4.8,62998.92,195014.95,209.55,86,65
ORG0038,Finance,Large,6571,ChatGPT,2024,100,2997,61.08,8.5,442103.22,844517.58,91.02,91,91
ORG0039,Manufacturing,Medium,438,Jasper,2021,48,202,25.28,1.6,135996.55,229698.4,68.9,40,38
ORG0040,Telecom,Medium,282,ChatGPT,2023,78,181,55.47,6.0,43792.41,93089.85,112.57,38,87
ORG0041,Manufacturing,Small,104,ChatGPT,2024,42,63,22.55,3.4,31998.21,79020.32,146.95,32,29
ORG0042,Finance,Small,121,Claude,2022,75,60,36.74,2.8,16120.49,51548.95,219.77,68,86
ORG0043,Education,Small,194,ChatGPT,2020,63,91,40.51,4.8,26828.66,54925.93,104.73,91,68
ORG0044,Finance,Medium,438,Midjourney,2022,80,65,59.38,7.5,137888.49,417925.15,203.09,88,78
ORG0045,Manufacturing,Medium,751,Perplexity,2021,55,448,30.17,2.4,244116.03,533884.02,118.7,19,56
ORG0046,Telecom,Small,44,Perplexity,2025,79,21,52.07,6.0,6291.84,16760.92,166.39,64,74
ORG0047,Marketing,Medium,469,ChatGPT,2022,68,146,27.82,4.2,97020.9,113640.84,17.13,71,64
ORG0048,Telecom,Large,8243,GitHub Copilot,2021,96,3559,61.52,7.1,2071778.98,3355821.23,61.98,90,98
ORG0049,Marketing,Medium,232,Cursor,2024,87,39,49.47,6.3,23837.65,51770.38,117.18,83,97
ORG0050,Marketing,Large,6055,Gemini,2023,78,1660,47.5,6.8,370672.77,999369.44,169.61,34,88
ORG0051,Healthcare,Medium,969,ChatGPT,2025,77,383,40.56,4.1,329233.15,661506.96,100.92,84,78
ORG0052,Manufacturing,Large,9759,Jasper,2024,84,5393,54.03,6.0,2259872.61,5890230.68,160.64,76,81
ORG0053,Marketing,Small,79,Cursor,2024,67,48,45.9,6.3,19417.98,50324.14,159.16,18,55
ORG0054,Telecom,Medium,980,ChatGPT,2021,80,414,43.31,6.6,85795.04,263515.74,207.15,16,68
ORG0055,Finance,Medium,232,Claude,2022,89,89,65.59,8.4,74855.39,107806.86,44.02,91,81
ORG0056,Telecom,Small,89,ChatGPT,2025,88,38,50.25,6.2,14590.75,16951.89,16.18,85,96
ORG0057,Telecom,Small,84,Jasper,2023,79,41,38.27,4.7,9883.48,27502.57,178.27,53,92
ORG0058,Telecom,Medium,836,Jasper,2024,78,394,54.35,6.8,272516.94,528462.25,93.92,10,67
ORG0059,Retail,Large,2444,Perplexity,2024,74,712,44.13,5.7,652434.16,1891836.26,189.97,93,68
ORG0060,Telecom,Small,126,GitHub Copilot,2023,88,69,44.26,5.5,35412.39,71709.03,102.5,72,79
ORG0061,Healthcare,Medium,816,GitHub Copilot,2026,89,491,46.94,5.8,107261.2,227057.11,111.69,16,91
ORG0062,Education,Medium,697,Jasper,2022,57,317,39.27,4.8,232498.98,397382.95,70.92,62,50
ORG0063,Telecom,Small,78,Cursor,2021,68,26,42.15,6.4,8852.98,27269.68,208.03,89,59
ORG0064,Education,Medium,604,Claude,2022,68,98,38.79,5.8,177572.43,516003.54,190.59,21,58
ORG0065,IT,Small,104,Jasper,2020,77,39,35.19,5.7,34045.69,60308.93,77.14,67,81
ORG0066,IT,Small,99,Gemini,2025,92,45,50.65,6.5,22684.62,60970.04,168.77,38,81
ORG0067,Finance,Medium,290,Cursor,2022,82,99,37.88,3.7,80132.07,107246.28,33.84,22,80
ORG0068,Telecom,Large,6399,ChatGPT,2026,86,3117,52.28,7.5,1046213.65,2292833.76,119.16,77,88
ORG0069,Telecom,Small,78,Midjourney,2022,76,20,52.5,6.2,10103.25,13816.35,36.75,6,76
ORG0070,Marketing,Large,5890,ChatGPT,2023,81,3593,59.05,8.2,1780836.55,2552341.6,43.32,44,75
ORG0071,Retail,Small,197,Claude,2024,56,64,29.62,3.8,41281.93,118909.74,188.04,79,44
ORG0072,Education,Small,77,ChatGPT,2022,50,25,33.21,4.6,5943.44,6994.78,17.69,80,37
ORG0073,Education,Large,1027,ChatGPT,2022,80,579,39.75,5.7,76367.41,200027.46,161.93,69,83
ORG0074,Retail,Small,81,Gemini,2023,54,38,24.29,2.1,9633.26,14568.64,51.23,77,64
ORG0075,Telecom,Medium,378,Claude,2024,81,241,50.01,6.1,63513.87,178212.62,180.59,79,84
ORG0076,Retail,Medium,416,Perplexity,2025,78,178,46.25,4.6,120931.61,205147.52,69.64,55,65
ORG0077,Healthcare,Small,115,Claude,2021,67,65,39.91,5.1,22255.35,35384.15,58.99,38,66
ORG0078,Healthcare,Large,9994,GitHub Copilot,2025,97,5289,61.84,7.0,803063.73,1753849.84,118.39,34,91
ORG0079,Education,Medium,416,GitHub Copilot,2025,63,200,36.11,3.6,43739.16,55606.68,27.13,50,50
ORG0080,Marketing,Large,2821,ChatGPT,2026,75,1547,51.98,6.1,246466.29,320314.23,29.96,7,62
ORG0081,Education,Large,9713,Perplexity,2022,86,4729,54.21,7.6,2509021.66,7474986.12,197.92,42,74
ORG0082,Retail,Small,27,ChatGPT,2025,51,15,26.7,3.2,4205.78,8080.95,92.14,55,41
ORG0083,IT,Large,3185,GitHub Copilot,2020,91,1157,32.42,4.0,943685.83,1947318.61,106.35,6,100
ORG0084,Manufacturing,Large,8239,Jasper,2022,90,4031,48.0,5.9,2176884.17,4319521.22,98.43,61,99
ORG0085,Telecom,Medium,940,ChatGPT,2025,78,393,53.43,7.4,69474.32,141038.36,103.01,7,88
ORG0086,Finance,Large,6810,Gemini,2022,93,1929,62.98,8.1,1651276.21,3519000.19,113.11,7,98
ORG0087,Healthcare,Medium,792,Gemini,2024,77,125,42.98,5.0,235983.57,421253.03,78.51,51,75
ORG0088,Finance,Medium,232,Claude,2023,94,116,69.94,7.6,80669.88,151241.29,87.48,53,87
ORG0089,Finance,Medium,483,Midjourney,2024,97,251,49.97,8.0,119280.57,272416.17,128.38,5,100
ORG0090,Manufacturing,Small,181,ChatGPT,2024,54,58,22.85,3.5,52779.24,65663.13,24.41,63,54
ORG0091,Manufacturing,Medium,350,Midjourney,2025,65,151,41.72,3.1,85042.85,236096.78,177.62,53,69
ORG0092,Education,Large,3887,ChatGPT,2020,85,915,40.77,3.1,864015.97,2158083.51,149.77,99,92
ORG0093,Retail,Medium,598,Gemini,2024,85,181,52.51,7.0,187896.64,234778.39,24.95,28,89
ORG0094,Manufacturing,Small,163,GitHub Copilot,2024,41,56,18.7,2.1,24575.49,38349.04,56.05,89,38
ORG0095,Finance,Large,8279,ChatGPT,2022,100,5347,57.42,6.5,2877295.17,8412984.06,192.39,51,93
ORG0096,Education,Large,5134,GitHub Copilot,2025,89,1266,58.26,8.0,898382.57,2727748.32,203.63,11,74
ORG0097,IT,Large,1635,Claude,2024,93,934,40.2,5.8,439180.98,1038769.39,136.52,45,79
ORG0098,Marketing,Medium,497,ChatGPT,2021,72,191,50.0,6.1,139220.03,316332.14,127.22,50,86
ORG0099,Finance,Small,86,ChatGPT,2024,87,43,55.32,6.5,14856.65,29460.9,98.3,44,98
ORG0100,IT,Small,38,ChatGPT,2025,76,15,40.81,4.3,9721.0,28458.15,192.75,22,72
ORG0101,Retail,Large,6260,Midjourney,2019,87,3441,33.56,4.4,617366.41,730197.13,18.28,92,85
ORG0102,IT,Medium,714,Perplexity,2023,84,418,55.22,7.5,218387.38,455885.49,108.75,64,95
ORG0103,Healthcare,Small,187,Perplexity,2021,82,55,45.78,5.2,37947.35,82049.23,116.22,65,89
ORG0104,Marketing,Large,2942,Claude,2022,97,1538,45.51,5.1,389190.79,1121138.4,188.07,63,89
ORG0105,Telecom,Large,1708,Cursor,2025,80,278,58.78,7.7,279826.66,818008.14,192.33,7,78
ORG0106,Retail,Medium,336,ChatGPT,2026,63,60,30.18,3.2,83330.91,222079.34,166.5,7,67
ORG0107,IT,Large,4543,Gemini,2026,100,2444,44.73,6.1,750559.93,1601273.67,113.34,18,100
ORG0108,Finance,Small,64,Perplexity,2025,80,20,50.72,6.7,21874.39,66150.43,202.41,22,72
ORG0109,Education,Medium,777,ChatGPT,2025,69,407,33.22,3.1,39742.12,118825.44,198.99,93,76
ORG0110,Finance,Medium,472,ChatGPT,2021,83,111,48.86,6.2,41258.08,66052.27,60.1,81,81
ORG0111,Retail,Small,177,GitHub Copilot,2022,72,38,49.14,5.5,10026.29,27872.83,178.0,74,73
ORG0112,Healthcare,Medium,412,ChatGPT,2025,88,263,56.01,6.5,120562.41,348224.27,188.83,89,92
ORG0113,Telecom,Medium,855,Midjourney,2019,95,267,55.24,8.1,46202.28,122944.57,166.1,99,80
ORG0114,Retail,Medium,778,Perplexity,2022,71,234,45.66,6.0,80924.25,196992.86,143.43,37,81
ORG0115,Manufacturing,Small,124,Cursor,2026,64,37,36.45,4.4,15913.69,29161.52,83.25,44,50
ORG0116,Healthcare,Medium,215,ChatGPT,2025,78,57,53.87,5.8,56506.71,153134.93,171.0,40,83
ORG0117,Manufacturing,Small,175,ChatGPT,2023,55,95,33.34,4.4,48913.11,127426.34,160.52,47,58
ORG0118,IT,Small,129,Midjourney,2024,92,24,57.71,7.8,32608.9,47288.22,45.02,33,100
ORG0119,IT,Medium,779,GitHub Copilot,2026,94,399,61.76,9.0,190365.4,385623.54,102.57,19,90
ORG0120,Manufacturing,Medium,251,Jasper,2020,52,45,36.03,3.6,54999.76,84935.54,54.43,85,44
ORG0121,Marketing,Medium,733,ChatGPT,2022,78,156,45.6,5.4,188069.29,549875.62,192.38,17,76
ORG0122,Healthcare,Large,1113,Claude,2024,89,360,45.85,5.8,321510.84,594302.42,84.85,95,91
ORG0123,Manufacturing,Medium,467,ChatGPT,2026,53,264,36.2,5.5,61603.09,165417.38,168.52,40,45
ORG0124,Telecom,Small,111,Cursor,2024,69,56,45.24,5.5,31085.05,42202.19,35.76,77,63
ORG0125,IT,Small,129,Perplexity,2025,92,52,46.13,6.3,23837.56,70706.51,196.62,77,100
ORG0126,Telecom,Medium,387,GitHub Copilot,2024,91,110,48.44,5.8,108609.65,262132.65,141.35,96,96
ORG0127,IT,Large,5390,GitHub Copilot,2024,91,3227,58.64,8.0,281712.78,335308.17,19.02,61,76
ORG0128,Telecom,Medium,954,ChatGPT,2021,89,595,39.86,5.8,291938.96,548207.06,87.78,51,91
ORG0129,Education,Small,102,Jasper,2024,53,39,30.19,4.1,27386.59,36203.33,32.19,57,46
ORG0130,Education,Medium,992,ChatGPT,2024,65,447,29.0,2.3,133037.28,198532.76,49.23,31,67
ORG0131,Marketing,Small,163,ChatGPT,2022,73,54,49.29,6.3,47104.5,120613.19,156.05,36,80
ORG0132,Finance,Large,3512,ChatGPT,2021,90,1141,53.65,7.4,747088.72,1648655.39,120.68,57,91
ORG0133,Education,Medium,903,ChatGPT,2019,79,580,51.07,6.2,131566.65,417990.24,217.7,91,68
ORG0134,IT,Small,116,Gemini,2025,79,21,39.45,5.1,6334.19,18660.07,194.59,80,65
ORG0135,Education,Medium,661,Perplexity,2022,63,214,41.84,4.5,48825.31,114071.98,133.63,35,53
ORG0136,Education,Medium,320,Gemini,2021,79,126,43.88,5.2,45951.48,108092.04,135.23,16,80
ORG0137,Telecom,Medium,918,Gemini,2024,95,421,56.64,6.5,264531.46,591770.31,123.71,32,90
ORG0138,Manufacturing,Medium,908,Claude,2024,57,234,27.99,4.3,82689.77,218920.93,164.75,43,66
ORG0139,Marketing,Medium,736,GitHub Copilot,2025,71,192,45.71,5.5,232251.15,512137.12,120.51,58,66
ORG0140,Manufacturing,Small,119,Claude,2023,60,25,22.81,2.7,29684.73,84886.67,185.96,19,70
ORG0141,Healthcare,Medium,884,GitHub Copilot,2023,91,163,32.2,3.4,237706.11,340033.46,43.05,94,86
ORG0142,Manufacturing,Medium,779,Midjourney,2023,74,412,47.86,5.3,51579.65,62771.72,21.7,24,84
ORG0143,Retail,Small,177,GitHub Copilot,2022,53,91,27.31,4.4,21524.16,47558.04,120.95,74,59
ORG0144,Finance,Medium,550,Gemini,2022,79,167,53.06,6.5,165317.86,432028.29,161.33,95,70
ORG0145,Healthcare,Medium,664,Perplexity,2026,90,280,42.88,6.2,81071.07,239553.28,195.49,50,81
ORG0146,Manufacturing,Medium,501,ChatGPT,2026,53,314,20.71,2.3,162060.37,514421.84,217.43,15,51
ORG0147,Finance,Small,60,GitHub Copilot,2021,90,9,32.09,3.7,11830.34,19312.66,63.25,23,100
ORG0148,Telecom,Medium,852,ChatGPT,2026,93,271,67.23,9.7,58881.41,103435.22,75.67,41,100
ORG0149,Telecom,Medium,539,Jasper,2023,87,177,49.1,5.0,141162.52,179623.89,27.25,51,91
ORG0150,IT,Medium,273,ChatGPT,2022,85,101,49.67,7.0,83004.38,255068.73,207.3,98,80
ORG0151,Telecom,Large,1639,Claude,2019,82,453,47.31,5.5,523913.43,1483506.7,183.16,71,74
ORG0152,Retail,Large,9827,ChatGPT,2021,78,5801,42.73,5.8,2470859.51,4741879.96,91.91,35,90
ORG0153,Healthcare,Medium,228,Claude,2026,78,41,54.58,5.8,50576.44,129941.91,156.92,78,91
ORG0154,Manufacturing,Medium,402,GitHub Copilot,2022,69,146,34.01,4.3,78747.03,97269.54,23.52,51,65
ORG0155,IT,Small,30,ChatGPT,2024,81,9,35.44,4.3,2649.32,5824.99,119.87,28,77
ORG0156,IT,Large,8640,Midjourney,2022,100,2027,53.2,7.0,2017736.55,2891165.64,43.29,61,100
ORG0157,IT,Small,184,GitHub Copilot,2024,78,107,57.02,6.1,50000.1,129804.77,159.61,55,90
ORG0158,IT,Medium,660,Cursor,2026,94,175,60.81,7.1,186283.19,314821.32,69.0,24,91
ORG0159,Finance,Medium,382,GitHub Copilot,2026,84,242,54.33,7.2,55738.69,80670.49,44.73,43,95
ORG0160,Marketing,Medium,924,Midjourney,2026,81,476,59.53,6.9,86988.49,124832.48,43.5,95,66
ORG0161,Marketing,Medium,325,Claude,2025,69,163,47.77,6.5,28462.96,79585.55,179.61,37,63
ORG0162,Finance,Medium,477,ChatGPT,2026,86,143,63.85,7.9,43392.28,118899.82,174.01,43,81
ORG0163,Retail,Small,50,Jasper,2023,62,19,34.69,2.3,16310.89,23049.45,41.31,12,47
ORG0164,IT,Small,61,Midjourney,2023,78,28,44.28,6.3,3315.37,9967.14,200.63,92,63
ORG0165,Retail,Small,158,Gemini,2020,54,101,37.25,4.1,35092.25,59346.33,69.12,68,66
ORG0166,Retail,Medium,521,GitHub Copilot,2020,86,277,46.58,5.8,92505.2,245966.07,165.89,24,82
ORG0167,Marketing,Small,49,ChatGPT,2023,74,7,30.61,5.0,14423.34,26508.03,83.79,19,77
ORG0168,Education,Small,107,ChatGPT,2026,68,31,47.41,5.3,35191.33,81698.46,132.16,97,70
ORG0169,Education,Medium,984,Midjourney,2020,56,211,28.28,4.3,83798.9,210415.86,151.1,30,43
ORG0170,Finance,Medium,706,Jasper,2022,94,278,61.38,6.5,161906.71,444574.94,174.59,73,100
ORG0171,Marketing,Medium,371,Claude,2023,67,106,27.97,3.5,64938.32,110414.83,70.03,92,72
ORG0172,IT,Medium,775,Jasper,2023,98,367,73.14,8.5,162612.87,415036.93,155.23,22,91
ORG0173,Finance,Medium,216,Cursor,2023,94,44,50.01,6.3,12495.22,21743.08,74.01,80,90
ORG0174,Finance,Small,143,GitHub Copilot,2022,76,72,50.68,6.5,42597.4,115739.84,171.71,17,75
ORG0175,Retail,Large,8071,Gemini,2026,72,3251,52.45,4.9,1518486.24,3275562.39,115.71,91,83
ORG0176,Education,Small,110,GitHub Copilot,2024,74,49,48.85,5.8,23061.19,58089.04,151.89,38,74
ORG0177,Healthcare,Small,195,Midjourney,2024,62,96,22.21,3.4,13782.71,19944.11,44.7,13,57
ORG0178,Retail,Medium,408,Claude,2020,75,66,51.9,4.9,50809.93,105517.52,107.67,41,69
ORG0179,Manufacturing,Small,87,Gemini,2026,60,36,22.38,2.5,10944.02,16455.25,50.36,81,69
ORG0180,Finance,Medium,892,ChatGPT,2022,90,426,40.56,4.6,222438.74,563890.89,153.5,50,100
ORG0181,Retail,Large,3854,ChatGPT,2022,67,2232,29.84,4.5,771271.85,1084172.95,40.57,62,61
ORG0182,Marketing,Small,84,Jasper,2024,78,49,36.23,5.1,15885.75,31897.82,100.8,50,67
ORG0183,Telecom,Medium,906,Gemini,2021,74,559,51.9,6.5,269033.48,489338.9,81.89,55,86
ORG0184,Retail,Medium,886,Gemini,2021,73,487,37.59,4.4,161039.24,279919.96,73.82,98,74
ORG0185,Retail,Medium,584,Midjourney,2021,79,317,32.01,3.4,38263.21,67891.9,77.43,45,71
ORG0186,IT,Medium,824,ChatGPT,2023,95,254,71.09,9.6,81152.02,118912.4,46.53,73,97
ORG0187,Telecom,Large,4692,Cursor,2023,98,2099,51.42,5.3,1608385.8,4558997.07,183.45,47,98
ORG0188,Telecom,Large,8259,Midjourney,2020,85,1720,59.58,6.3,1532286.07,3188156.89,108.07,51,92
ORG0189,Education,Medium,588,Claude,2025,56,318,29.04,2.8,204025.54,399765.08,95.94,24,60
ORG0190,Education,Small,95,Cursor,2022,52,52,33.62,3.2,20674.52,57006.49,175.73,98,59
ORG0191,Finance,Large,9144,GitHub Copilot,2026,95,4638,52.35,6.5,2547902.23,8018006.8,214.69,68,97
ORG0192,Healthcare,Small,131,Jasper,2021,83,66,49.25,5.0,32297.37,45823.18,41.88,41,92
ORG0193,IT,Medium,793,Perplexity,2023,99,168,41.95,3.9,205010.18,376151.0,83.48,91,87
ORG0194,IT,Medium,941,Gemini,2020,85,287,59.72,6.9,166322.93,297122.86,78.64,25,73
ORG0195,Telecom,Medium,227,ChatGPT,2019,76,105,33.66,3.9,71246.78,191120.3,168.25,49,90
ORG0196,Education,Small,129,ChatGPT,2026,53,35,29.82,2.9,10693.6,19373.62,81.17,64,53
ORG0197,Marketing,Large,4467,GitHub Copilot,2023,71,2389,40.97,6.6,1329982.65,2370361.39,78.22,16,77
ORG0198,IT,Small,189,Cursor,2021,83,120,45.28,4.6,12979.13,39897.2,207.4,15,88
ORG0199,Finance,Small,167,Claude,2024,76,39,42.63,4.7,28257.56,72799.88,157.63,31,72
ORG0200,Marketing,Small,199,Perplexity,2025,65,101,44.22,5.8,53432.07,156732.68,193.33,99,57
ORG0201,Finance,Small,42,ChatGPT,2025,72,23,39.49,4.1,3686.31,10230.59,177.53,11,72
ORG0202,Finance,Small,57,ChatGPT,2025,87,18,61.8,7.7,17732.44,44815.47,152.73,71,72
ORG0203,Finance,Small,198,Cursor,2024,83,107,59.4,7.6,18245.34,57247.56,213.77,71,72
ORG0204,IT,Medium,919,Gemini,2025,92,297,34.06,2.9,140813.19,386131.82,174.22,85,89
ORG0205,Marketing,Large,3118,Perplexity,2023,82,661,29.97,2.6,927179.07,1566078.9,68.91,92,90
ORG0206,Manufacturing,Small,148,ChatGPT,2025,61,90,35.03,4.4,46606.95,75550.78,62.1,67,54
ORG0207,Manufacturing,Small,106,Midjourney,2023,45,53,21.79,1.4,28121.47,36264.6,28.96,67,41
ORG0208,Healthcare,Large,7021,ChatGPT,2023,92,1135,32.86,4.3,1898940.57,2775784.65,46.18,38,91
ORG0209,IT,Medium,332,Claude,2024,93,195,35.69,6.4,81325.11,196278.81,141.35,86,100
ORG0210,IT,Medium,324,Cursor,2026,97,57,39.43,5.0,42829.12,94699.07,121.11,76,82
ORG0211,Healthcare,Medium,537,Cursor,2026,76,144,49.26,5.9,43885.96,72087.53,64.26,10,82
ORG0212,IT,Large,7968,ChatGPT,2021,100,1694,63.93,6.7,2722238.71,4392691.63,61.36,89,93
ORG0213,Manufacturing,Small,82,ChatGPT,2025,74,51,36.73,5.8,11239.6,26671.57,137.3,62,81
ORG0214,Telecom,Small,38,Perplexity,2025,73,22,31.4,3.1,12794.79,16449.4,28.56,60,77
ORG0215,Telecom,Small,132,GitHub Copilot,2024,85,42,60.42,7.6,41210.28,113487.23,175.39,81,87
ORG0216,Healthcare,Small,140,GitHub Copilot,2021,66,62,32.23,1.9,39854.14,101964.56,155.84,67,67
ORG0217,Telecom,Large,5022,ChatGPT,2025,86,1889,48.76,5.7,743378.59,968690.3,30.31,32,97
ORG0218,Retail,Large,3523,Midjourney,2020,75,2275,38.18,5.3,752861.78,1845897.78,145.18,39,71
ORG0219,Education,Medium,763,Jasper,2025,81,342,30.18,4.3,141097.7,319534.96,126.46,73,88
ORG0220,Telecom,Large,7043,Midjourney,2021,100,1815,37.69,5.1,1249870.46,3169566.58,153.59,76,100
ORG0221,Marketing,Medium,829,GitHub Copilot,2025,87,386,53.65,6.3,111141.91,331903.03,198.63,13,84
ORG0222,Healthcare,Small,66,Jasper,2021,84,28,54.58,6.5,19310.32,58098.87,200.87,88,94
ORG0223,Marketing,Medium,710,ChatGPT,2022,84,241,36.22,4.1,136634.03,350548.04,156.56,32,92
ORG0224,Manufacturing,Medium,549,ChatGPT,2025,54,173,35.17,4.1,123438.03,295635.0,139.5,92,50
ORG0225,Finance,Small,181,Claude,2023,79,35,58.84,7.7,58211.16,143929.97,147.25,28,79
ORG0226,Healthcare,Small,188,Perplexity,2024,85,79,29.94,2.7,57347.0,63089.87,10.01,43,70
ORG0227,Retail,Large,2942,ChatGPT,2020,71,1033,49.4,7.1,727573.45,2231107.07,206.65,5,70
ORG0228,Retail,Large,1691,GitHub Copilot,2021,80,678,35.63,5.1,293069.35,549240.66,87.41,86,89
ORG0229,Finance,Large,3404,Cursor,2025,92,1429,41.38,4.7,1108371.28,1840022.55,66.01,90,100
ORG0230,Marketing,Large,7618,Gemini,2020,92,2185,63.35,8.9,1935171.34,3420437.75,76.75,99,86
ORG0231,Finance,Medium,697,Cursor,2022,88,139,62.54,6.9,167881.74,302016.12,79.9,61,95
ORG0232,Healthcare,Medium,387,Claude,2020,76,103,56.6,7.4,68815.34,110525.3,60.61,74,68
ORG0233,Finance,Large,2994,ChatGPT,2023,96,1259,55.55,7.8,967263.25,2116799.58,118.84,53,98
ORG0234,Marketing,Medium,471,Gemini,2024,86,243,45.44,6.2,134329.1,272133.31,102.59,96,89
ORG0235,Finance,Large,4411,GitHub Copilot,2024,100,2276,56.4,6.4,758199.88,844937.92,11.44,67,98
ORG0236,Retail,Small,98,Midjourney,2026,79,25,41.94,5.5,15018.85,16963.65,12.95,35,70
ORG0237,Telecom,Medium,531,Gemini,2020,78,302,57.28,7.7,164667.58,428526.91,160.24,32,92
ORG0238,Telecom,Small,38,Perplexity,2021,75,7,38.25,5.4,5640.48,6852.68,21.49,28,81
ORG0239,Retail,Medium,696,GitHub Copilot,2022,61,193,36.41,4.1,43849.41,129013.41,194.22,75,48
ORG0240,Healthcare,Medium,404,Gemini,2019,86,70,38.72,6.6,100037.22,296312.05,196.2,63,82
ORG0241,Manufacturing,Large,1964,ChatGPT,2025,72,1028,42.19,5.4,667665.14,1892748.4,183.49,68,80
ORG0242,Manufacturing,Medium,744,ChatGPT,2024,82,306,41.34,5.6,249183.37,751561.69,201.61,35,80
ORG0243,Healthcare,Large,3871,Claude,2020,95,876,64.19,7.6,1060881.72,3335940.47,214.45,89,100
ORG0244,Manufacturing,Large,6355,Gemini,2022,79,2174,34.44,4.9,1733233.25,4238175.22,144.52,30,77
ORG0245,Healthcare,Medium,356,Claude,2021,76,67,54.33,6.9,79359.37,127199.06,60.28,72,88
